sim,time,S,I,R
10,0.7000000000000001,97.67950999787199,2.016899559083655,0.3035904430443429
10,0.8,97.40607993924093,2.226953295038789,0.366966765720272
10,0.9,97.10511934061626,2.4579505276876072,0.4369301316961167
10,1,96.77408927447995,2.711776223744367,0.5141345017756792
10,1.1,96.41026711513489,2.990440851218777,0.5992920336463307
10,1.2000000000000002,96.01074449537504,3.2960787587369325,0.6931767458880301
10,1.3,95.57242763108125,3.6309440839009475,0.7966282850177916
10,1.4000000000000001,95.09204145526343,3.9974031628925064,0.9105553818440614
10,1.5,94.566137925181,4.397923031133105,1.0359390436859017
10,1.6,93.99110977362585,4.8350549086460415,1.173835317728118
10,1.7000000000000002,93.36321002509099,5.311412473240543,1.3253775016684721
10,1.8,92.67857857644664,5.82964380629856,1.491777617254808
10,1.9000000000000001,91.93327691305765,6.392396163479307,1.6743269234630447
10,2,91.12333170972079,7.00227302061608,1.8743952696631496
10,2.1,90.24478810900305,7.661782847177052,2.093429043819911
10,2.2,89.29377332075701,8.373279219893167,2.3329474593498283
10,2.3000000000000003,88.26657083575392,9.138892242619672,2.59453692162641
10,2.4000000000000004,87.15970515225722,9.96045162907602,2.8798432186667795
10,2.5,85.97003639681381,10.839402305272367,3.190561297913832
10,2.6,84.69486358297539,11.776713991086325,3.5284224259382935
10,2.7,83.33203451417306,12.772786904578169,3.8951785812487785
10,2.8000000000000003,81.88005952260983,13.827356471859677,4.292584005530505
10,2.9000000000000004,80.33822539141343,14.939400672564116,4.722373936022463
10,3,78.7067049950641,16.10705434411722,5.186240660818694
10,3.1,76.9866574928372,17.327535330217575,5.685807176945254
10,3.2,75.18031341354106,18.597087703562273,6.222598882896678
10,3.3000000000000003,73.29103877280234,19.91094733209838,6.798013895099285
10,3.4000000000000004,71.32337255446748,21.263334714361122,7.413292731171406
10,3.5,69.28303253136355,22.647479229091118,8.069488239545345
10,3.6,67.1768855270001,24.055677711397298,8.767436761602621
10,3.7,65.0128798085537,25.479388615655722,9.507731575790585
10,3.8000000000000003,62.79993927499002,26.90936104311426,10.290699681895733
10,3.9000000000000004,60.54782132726249,28.33579574284646,11.116382929891053
10,4,58.26694259691072,29.748533024433424,11.984524378655859
10,4.1000000000000005,55.968178852691494,31.1372605588475,12.89456058846101
10,4.2,53.662647187066646,32.49173249616435,13.845620316769008
10,4.3,51.36147968257836,33.8019905021491,14.836529815272531
10,4.4,49.075599070350414,35.05857628882355,15.86582464082604
10,4.5,46.815504963350556,36.252727467373845,16.931767569275607
10,4.6000000000000005,44.591080414700805,37.376547564333656,18.032372020965546
10,4.7,42.41142558339547,38.42314433064786,19.165430085956675
10,4.800000000000001,40.284724197655954,39.386731635810044,20.32854416653401
10,4.9,38.21814567197126,40.26269324244844,21.519161085580308
10,5,36.217783906127146,41.04760855936559,22.734607534507266
10,5.1000000000000005,34.28863168472684,41.73924256982411,23.972125745449063
10,5.2,32.43458774110225,42.33650388207011,25.228908376827643
10,5.300000000000001,30.658492544067283,42.83937572896209,26.50213172697063
10,5.4,28.962187603064717,43.24882584446792,27.788986552467353
10,5.5,27.346593054077132,43.56670099453024,29.08670595139263
10,5.6000000000000005,25.81179804146846,43.79561202218104,30.392589936350504
10,5.7,24.357158847456642,43.93881465609767,31.704026496445692
10,5.800000000000001,22.981400248653056,44.00009065960729,33.01850909173966
10,5.9,21.68271625689888,43.98363309572475,34.33365064737638
10,6,20.458867167799834,43.893938614464766,35.6471942177354
10,6.1000000000000005,19.30727060347006,43.73570883427886,36.95702056225108
10,6.2,18.225084943637665,43.51376212964044,38.261152926721905
10,6.300000000000001,17.20928416881591,43.23295647890901,39.55775935227509
10,6.4,16.25672366881342,42.89812348571439,40.845152845472185
10,6.5,15.364196994987088,42.514013265181475,42.121789739831435
10,6.6000000000000005,14.528483858215445,42.08524957683597,43.386266564948585
10,6.7,13.746389905683431,41.61629437679361,44.63731571752296
10,6.800000000000001,13.014778960790037,41.111420837371774,45.873800201838186
10,6.9,12.330598495058238,40.57469382715422,47.09470767778754
10,7,11.69089913728364,40.00995683839494,48.29914402432143
10,7.1000000000000005,11.092849011621059,39.420824392111925,49.48632659626703
10,7.2,10.533743668164865,38.810679007010016,50.65557732482513
10,7.300000000000001,10.01101231609801,38.182671899065944,51.80631578483605
10,7.4,9.52222100140394,37.53972666923252,52.93805232936354
10,7.5,9.065073303053794,36.884545325858554,54.05038137108765
10,7.6000000000000005,8.63740905188923,36.21961607669635,55.142974871414424
10,7.7,8.237201507775131,35.547222409236426,56.21557608298845
10,7.800000000000001,7.8625533622006465,34.86945306060506,57.26799357719429
10,7.9,7.511691885036704,34.18821253535172,58.30009557961158
10,8,7.182963466983513,33.50523190913263,59.31180462388386
10,8.1,6.8748277752323554,32.822079694310126,60.30309253045752
10,8.200000000000001,6.585851691087465,32.14017260026313,61.27397570864941
10,8.3,6.314703167405255,31.46078605557196,62.22451077702279
10,8.4,6.060145113577266,30.78506439281769,63.15479049360504
10,8.5,5.821029390151847,30.114030625351145,64.06493998449699
10,8.6,5.59629097504198,29.44859576692737,64.95511325803064
10,8.700000000000001,5.384942346243115,28.789567663521495,65.82548999023537
10,8.8,5.186068112200703,28.137659321004158,66.6762725667951
10,8.9,4.998819909831847,27.493496723848395,67.50768336631972
10,9,4.822411581371885,26.857626148871812,68.31996226975625
10,9.1,4.656114634277767,26.23052098472755,69.11336438099461
10,9.200000000000001,4.499253983059426,25.612588072823854,69.88815794411664
10,9.3,4.351203967847065,25.004173588888776,70.64462244326407
10,9.4,4.21138464149858,24.40556848678819,71.38304687171316
10,9.5,4.079258314904127,23.81701352768251,72.10372815741329
10,9.600000000000001,3.9543263486841442,23.238703918365015,72.80696973295078
10,9.700000000000001,3.836126178561749,22.67079358282347,73.49308023861471
10,9.8,3.724228561202534,22.11339909083818,74.16237234795922
10,9.9,3.61823502715842,21.566603266882122,74.8151617059594
10,10,3.5177755276482423,21.030458501808134,75.45176597054356
11,0,99,1,0
11,0.1,98.86474752178935,1.103863476480094,0.03138900173054955
11,0.2,98.71567730525668,1.2182881254411704,0.06603456930213315
11,0.30000000000000004,98.55143001525354,1.3443018665294038,0.10426811821704009
11,0.4,98.37053283697175,1.4830159564384167,0.1464512065898214
11,0.5,98.17138004064493,1.6356388856587658,0.1929810736962984
11,0.6000000000000001,97.9522279324692,1.803479262747039,0.24429280478375964
11,0.7000000000000001,97.71119064491785,1.987947932408142,0.3008614226739935
11,0.8,97.44622966339608,2.190564449347543,0.36320588725635833
11,0.9,97.15514796267591,2.4129599043918057,0.431892132932276
11,1,96.83558409881826,2.656879250229581,0.5075366509521594
11,1.1,96.48500833686542,2.9241819152142146,0.5908097479203692
11,1.2000000000000002,96.10072055596099,3.21684057066757,0.6824388733714503
11,1.3,95.67985014888839,3.5369377953075607,0.7832120558040603
11,1.4000000000000001,95.21935913462261,3.886659775863535,0.8939810895138687
11,1.5,94.71604884608502,4.268286662646739,1.0156644912682466
11,1.6,94.16657121690008,4.6841786827831235,1.1492501003167894
11,1.7000000000000002,93.56744501171316,5.136757778225877,1.2957972100609667
11,1.8,92.9150780416179,5.628483879321685,1.4564380790604075
11,1.9000000000000001,92.20579631560081,6.161825054020172,1.6323786303790058
11,2,91.43588080693604,6.739221026706417,1.8248981663575248
11,2.1,90.6016125415515,7.363039568097178,2.035347890351305
11,2.2,89.69932662339536,8.03552536308528,2.2651480135193354
11,2.3000000000000003,88.72547554783606,8.758741231837154,2.515783220326771
11,2.4000000000000004,87.6767018494472,9.534501884047222,2.788796266505549
11,2.5,86.54991973060639,10.364300775751346,3.0857794936422382
11,2.6,85.34240481584759,11.24923111523766,3.4083640689147194
11,2.7,84.05189058703529,12.189902615370425,3.75820679759424
11,2.8000000000000003,82.67666939008552,13.186356197266317,4.136974412648114
11,2.9000000000000004,81.21569519641297,14.237979482523544,4.546325321063449
11,3,79.66868459591618,15.343426523596623,4.987888880487154
11,3.1,78.0362118515574,16.500545757377644,5.463242391064915
11,3.2,76.31979332878562,17.706320558553905,5.9738861126604155
11,3.3000000000000003,74.52195630313494,18.956826945277466,6.521216751587537
11,3.4000000000000004,72.64628712222972,20.24721288165698,7.106499996113251
11,3.5,70.69745401891358,21.5717031741536,7.730842806932776
11,3.6,68.68120058243217,22.92363314066508,8.395166276902717
11,3.7,66.60430700290837,24.29551304468016,9.100179952411425
11,3.8000000000000003,64.47451767663304,25.679123776935537,9.846358546431388
11,3.9000000000000004,62.30043551535236,27.06564252255361,10.63392196209399
11,4,60.09138521724501,28.445795302359084,11.462819480395865
11,4.1000000000000005,57.85724967223088,29.81003148218769,12.332718845581386
