time,S,I,R
4.55,0.9996900923355516,2.3795281297597085e-4,7.195485147113631e-5
4.6000000000000005,0.9996708762085371,2.526921314213049e-4,7.643166004025174e-5
4.65,0.9996504702128218,2.68344018936274e-4,8.118576824056413e-5
4.7,0.9996288007326433,2.849649230467286e-4,8.623434430863355e-5
4.75,0.9996057896055462,3.026147760797543e-4,9.159561837262701e-5
4.800000000000001,0.9995813538425672,3.2135720943063525e-4,9.728894800074094e-5
4.8500000000000005,0.9995554053313264,3.4125978089328776e-4,1.0333488777895756e-4
4.9,0.9995278505209986,3.623942158364095e-4,1.0975526316367136e-4
4.95,0.9994985904604999,3.8483637767491435e-4,1.1657316182373145e-4
5,0.9994675192866701,4.0866742601726995e-4,1.2381328731124805e-4
5.050000000000001,0.9994345250781316,4.3397316199692676e-4,1.3150175986997083e-4
5.1000000000000005,0.9993994890246609,4.6084466430012155e-4,1.3966631103742435e-4
5.15,0.9993622849454818,4.893786577677386e-4,1.4833639674894712e-4
5.2,0.9993227788870513,5.196778209760727e-4,1.5754329197111236e-4
5.25,0.9992808286455785,5.518511513954128e-4,1.673202030245821e-4
5.300000000000001,0.9992362832618988,5.860143516124009e-4,1.777023864872849e-4
5.3500000000000005,0.9991889824862906,6.222902384496475e-4,1.8872727525826336e-4
5.4,0.9991387562108964,6.608091767550274e-4,2.0043461234704748e-4
5.45,0.9990854238680335,7.017095391540179e-4,2.128665928110516e-4
5.5,0.9990287937923891,7.451381932761043e-4,2.2606801433341575e-4
5.550000000000001,0.9989686625450104,7.912510180306359e-4,2.4008643695749452e-4
5.6000000000000005,0.9989048141968886,8.402134505869038e-4,2.5497235252307883e-4
5.65,0.9988370195698199,8.922010657981383e-4,2.707793643806006e-4
5.7,0.9987650354321103,9.474001898962892e-4,2.875643779920854e-4
5.75,0.9986886036465622,0.0010060085503745834,3.053878030617919e-4
5.800000000000001,0.9986074502680556,0.001068235964067667,3.243137678753087e-4
5.8500000000000005,0.9985212845879007,0.001134305065534453,3.444103465634336e-4
5.9,0.9984297981220057,0.001204452077946448,3.657498000464781e-4
5.95,0.998332663539759,0.0012789276287838555,3.884088314557473e-4
6,0.9982295335303838,0.0013579976127429895,4.1246885687190284e-4
6.050000000000001,0.9981200396033731,0.0014419441043608354,4.3801629226471634e-4
6.1000000000000005,0.9980037908194678,0.0015310663229655033,4.651428575654014e-4
6.15,0.9978803724484833,0.0016256816526642136,4.939458988512803e-4
6.2,0.9977493445501433,0.0017261267201824095,5.24528729672957e-4
6.25,0.9976102404739244,0.00183275853346789,5.570009926064607e-4
6.300000000000001,0.9974625652737606,0.0019459556840712563,5.914790421669013e-4
6.3500000000000005,0.9973057940333157,0.002066119616407281,6.280863502760035e-4
6.4,0.9971393700973759,0.00219367596708967,6.669539355333817e-4
6.45,0.9969627032047863,0.0023290759776121977,7.082208176004163e-4
6.5,0.996775167518212,0.0024727979837207647,7.520344980660324e-4
6.550000000000001,0.9965760995458925,0.0026253489848810044,7.985514692252839e-4
6.6000000000000005,0.9963647959504421,0.0027872662972923735,8.479377522642387e-4
6.65,0.9961405112396614,0.0029591192939292716,9.003694664079713e-4
6.7,0.9959024553342474,0.003141511235099251,9.560334306520908e-4
6.75,0.9956497910072425,0.0033350811929943607,0.0010151277997618832
6.800000000000001,0.9953816311900429,0.0035405060736697054,0.0010778627362862383
6.8500000000000005,0.9950970361397945,0.003758502739808793,0.0011444611203955983
6.9,0.9947950104630624,0.003989830237522985,0.0012151592994135408
6.95,0.9944745000961448,0.004235292051576077,0.001290207852278027
7,0.9941343887376737,0.004495738764903152,0.001369872497422064
7.050000000000001,0.9937734946233877,0.00477207045717957,0.001454434919431624
7.1000000000000005,0.9933905669775929,0.005065239337959673,0.0015441936844463357
7.15,0.9929842821416158,0.005376252613776331,0.0016394652446066623
7.2,0.9925532396593658,0.005706175378207093,0.0017405849624260576
7.25,0.9920959581724623,0.006056133633854592,0.0018479081936820098
7.300000000000001,0.9916108711342997,0.006427317437692033,0.0019618114280072004
7.3500000000000005,0.9910963223484562,0.0068209841638696995,0.002082693487672946
7.4,0.9905505613294125,0.007238461883507136,0.002210976787079222
7.45,0.9899717384865913,0.007681152858431595,0.002347108654976071
7.5,0.9893579001337041,0.008150537144828277,0.0024915627214664253
7.550000000000001,0.9887069833269414,0.008648176301303276,0.0026448403717541356
7.6000000000000005,0.9880168105373587,0.009175717194161843,0.002807472268478299
7.65,0.9872850841648644,0.009734895890805728,0.0029800199443288464
7.7,0.9865093809035527,0.010327541629993737,0.003163077466452595
